click_speed,hover_time,link_clicks,login_attempts
0.5993428306022466,0.9881201589886484,1,1
0.4723471397657631,0.9732929458080729,0,0
0.6295377076201385,0.30217841368499243,0,0
0.8046059712816052,1.0349549041492814,1,0
0.4531693250553328,1.5664145409108725,2,3
0.4531726086101639,0.5628839404616024,3,1
0.8158425631014783,1.7242413255252962,2,2
0.6534869458305818,1.443887410542169,3,2
0.4061051228130096,0.832883339014481,3,0
0.6085120087171929,1.1292351813310761,4,2
0.40731646143750755,1.9991609038205165,2,1
0.4068540492859486,1.566773906752933,1,1
0.5483924543132068,1.204391827449074,2,1
0.11734395106844042,1.0811583415195078,2,1
0.1550164334973934,1.2383045352258297,2,2
0.38754249415180547,0.9441182210288482,1,2
0.29743377593311526,0.14762524714049263,1,1
0.5628494665190548,2.2210889552673656,0,0
0.3183951848957578,1.2776624995997006,0,2
0.2175392597329417,1.3990736325612685,2,0
0.7931297537843108,1.1710461250615456,1,2
0.45484473990269286,0.8324415996377059,7,1
0.5135056409375848,1.1070377595256147,1,0
0.21505036275730866,0.40030261890284435,1,1
0.3911234550949635,2.3385432490266522,1,0
0.5221845179419732,0.582744000788802,2,1
0.2698012845155394,0.6840168580764102,4,1
0.5751396036691344,0.9798703978067997,2,1
0.379872262016239,1.8440378624261888,1,1
0.44166125004134466,1.207254499631327,1,0
0.37965867755412064,0.5819321019847687,1,0
0.8704556369017875,1.8271691803786698,0,1
0.4973005550524132,1.5655003133927408,4,1
0.2884578142088199,1.4692174786082262,1,2
0.6645089824206378,1.5578671205854202,3,3
0.25583127000579553,2.3971809502912254,3,2
0.5417727190009511,2.2925474475180563,3,0
0.10806597522404487,0.8566423284983523,2,2
0.23436279022031387,2.011942496405576,2,1
0.5393722471738247,1.39158409487945,3,0
0.6476933159990821,1.4495479080688747,2,1
0.534273656237994,0.35386458417833566,0,2
0.4768703435223519,1.114807117305902,3,0
0.43977926088214225,0.7935882048317175,2,1
0.20429560192651453,1.6140294074466546,4,1
0.35603115832105825,1.7355402502014026,2,0
0.4078722458080425,0.16275682449184425,1,1
0.7114244452437831,1.1889825679978647,3,0
0.5687236579136923,1.760930752397126,2,0
0.1473919689274532,1.1066605188432774,2,1
0.564816793878959,1.5645318225011822,0,2
0.4229835439167367,1.375582733813542,0,1
0.3646155999388082,1.3708301159763132,4,1
0.6223352577681736,1.0643425109658513,1,0
0.7061999044991902,0.5917095979321452,2,0
0.6862560238232397,0.6392349262874862,1,4
0.3321564953554723,1.5546762572276585,1,1
0.43815752482975706,1.2097291277594415,1,1
0.5662526862807128,1.1307438776963876,2,2
0.6951090254244718,0.9880549788388236,3,2
0.404165152430942,1.047405577259624,2,0
0.46286820466723655,1.7234558972440697,1,0
0.27873300519879435,1.0323779590659865,1,0
0.26075867518386586,0.5294676433492156,2,3
0.6625051644788396,1.5718258877700866,1,0
0.7712480057141646,1.0975616680676414,3,1
0.48559797568393326,1.2156979327663882,2,2
0.7007065795784049,2.0037891531997554,1,1
0.5723272050095268,1.1897197213247463,3,1
0.37097604907897513,1.3445918365593625,3,2
0.5722791211016828,0.6105382543508373,4,0
0.8076073132931938,1.0901652738245198,0,0
0.4928347921780097,1.5047630226043005,4,0
0.8129287311628013,0.4223131330793788,2,1
-0.02394902081794892,1.3004225465578547,2,1
0.6643805008750447,1.250395536322403,0,2
0.5174094136476343,1.2206437277937197,1,2
0.4401985299068265,1.7185794493291215,4,1
0.5183521553071004,1.3672192574242608,2,0
0.10248621707982142,1.9390359491782219,3,1
0.4560656224324976,0.7032052422029819,2,1
0.5714225143023492,1.267962283609174,7,0
0.7955788089483032,1.2422333931949736,2,1
0.39634595634527053,0.6653727531224599,3,1
